"api","cum_gor_180","cum_gor_30","cum_gor_365","cum_gor_545","cum_gor_730","cum_gor_90","cum_oil_180","cum_oil_30","cum_oil_365","cum_oil_545","cum_oil_730","cum_oil_90","cum_water_180","cum_water_30","cum_water_365","cum_water_545","cum_water_730","cum_water_90","cum_wc_180","cum_wc_30","cum_wc_365","cum_wc_545","cum_wc_730","cum_wc_90"
"33023010440000","709.635","620.059","914.249","","","649.435","25127","3390","47673","","","13444","78474","17070","138622","","","43340","75.746","83.431","74.41","","","76.324"
"33061012140000","873.808","902.01","875.409","874.884","891.271","882.862","32102","6715","48880","60304","70938","18713","32046","15443","40857","46978","52878","24428","49.956","69.695","45.53","43.789","42.707","56.624"
"33105034960000","","789.577","","","","","","11168","","","","","","15237","","","","","","57.705","","","",""
"33053038210000","1892.074","1813.603","1863.808","2161.965","2097.547","1914.611","53203","13203","77222","97521","116139","36117","38197","20626","47761","59195","69847","31739","41.791","60.971","38.214","37.772","37.555","46.774"
"33061024070000","1140.293","1041.318","","","","1090.869","62512","13384","","","","38341","50827","18621","","","","36183","44.845","58.182","","","","48.552"
"33033003240000","405.838","407.708","410.11","419.717","","406.723","49882","8018","87952","113536","","28469","4133","1002","8372","12072","","2226","7.652","11.109","8.691","9.611","","7.252"
"33025022840000","","1589.206","","","","1098.14","","6300","","","","29142","","9279","","","","30487","","59.561","","","","51.128"
"33023005620000","1006.771","1019.02","1037.694","1042.734","1204.113","942.746","69270","15931","100811","130340","153307","40713","44381","18165","58298","68768","79514","31521","39.05","53.276","36.64","34.538","34.152","43.637"
"33053057710000","","731.579","","","","838.989","","30590","","","","98068","","37807","","","","77905","","55.276","","","","44.271"
"33061022190000","1558.403","1959.192","1564.362","1635.908","","1478.09","32233","9802","44514","52668","","24236","26214","8287","36536","44203","","18532","44.851","45.812","45.078","45.631","","43.331"
"33023011260000","803.051","1291.032","","","","925.893","45296","8731","","","","26718","100414","35386","","","","68278","68.914","80.209","","","","71.875"
"33105027990000","625.478","748.265","595.382","","","775.684","23267","5331","45082","","","9763","35413","13585","120966","","","24473","60.349","71.818","72.85","","","71.483"
"33105028730000","677.168","709.899","727.025","","","737.177","31806","8011","62753","","","17761","62627","20231","105654","","","37343","66.319","71.634","62.737","","","67.768"
"33061022900000","486.71","263.32","569.86","","","443.553","64675","18506","103020","","","42013","25630","6162","40657","","","16272","28.382","24.98","28.298","","","27.918"
"33025014910000","189.216","84.589","234.437","243.383","235.094","131.258","26557","9162","43419","53496","61601","15900","46314","15325","82983","104471","120508","24434","63.556","62.584","65.65","66.135","66.174","60.579"
"33053035940000","1292.494","1337.985","1484.51","1541.668","1617.737","1277.597","52449","12684","81825","99910","114675","28210","20215","6444","32492","40555","47397","11898","27.82","33.689","28.423","28.872","29.244","29.665"
"33053046300000","1550.187","1143.843","1637.762","1620.034","","1444.989","70238","24332","100583","122819","","47163","3500","305","6693","8438","","1524","4.747","1.238","6.239","6.429","","3.13"
"33105018510000","633.618","635.68","460.115","501.248","539.091","622.713","44833","9047","71832","87713","102235","26126","56211","15355","86194","108231","127376","35066","55.63","62.925","54.544","55.236","55.475","57.305"
"33061015980000","660.627","688.158","741.039","740.916","777.623","762.719","67448","10361","110368","134555","151333","36893","62832","17671","84822","102172","115630","42743","48.228","63.039","43.456","43.16","43.313","53.673"
"33105030730000","2383.854","1807.402","","","","2036.897","80851","22238","","","","52471","69797","26637","","","","48264","46.331","54.5","","","","47.912"
"33053045740000","2237.071","","1601.137","1642.9","1483.07","1528.062","51069","4818","167298","257849","309833","15163","10931","0","24730","38254","40951","2880","17.631","","12.878","12.919","11.674","15.962"
"33023005460000","943.539","624.739","1028.737","1181.529","1275.943","772.404","33457","8618","49101","59682","67235","20778","49177","22820","63707","75898","85361","36341","59.512","72.587","56.474","55.98","55.939","63.623"
"33023006150000","396.827","133.145","511.021","570.026","639.349","222.776","18217","3545","27719","34023","38644","10625","27425","6122","54038","66059","75797","15563","60.087","63.329","66.096","66.005","66.232","59.428"
